0,"[4621.390438485349, 215.0, 3.0]"
1,"[4741.903660024474, 221.0, 3.0]"
2,"[5203.871009257791, 244.0, 3.0]"
3,"[4922.673492333163, 230.0, 3.0]"
4,"[7993.142854607049, 139.0, 4.0]"
5,"[5424.811915412855, 255.0, 3.0]"
6,"[5585.4962107983565, 263.0, 3.0]"
7,"[5284.213156950542, 248.0, 3.0]"
8,"[5665.838358491107, 267.0, 3.0]"
9,"[5424.811915412855, 255.0, 3.0]"
10,"[8320.731754805915, 145.0, 4.0]"
11,"[20095.53700154011, 132.0, 5.0]"
12,"[5464.982989259231, 257.0, 3.0]"
13,"[7774.750254474472, 135.0, 4.0]"
14,"[6682.787253811587, 115.0, 4.0]"
15,"[7501.75950430875, 130.0, 4.0]"
16,"[7010.376154010452, 121.0, 4.0]"
17,"[5223.956546180979, 245.0, 3.0]"
18,"[5565.410673875169, 262.0, 3.0]"
19,"[8484.526204905347, 148.0, 4.0]"
20,"[7119.572454076741, 123.0, 4.0]"
21,"[10723.05035626426, 189.0, 4.0]"
22,"[5481.627953082414, 93.0, 4.0]"
23,"[7174.170604109885, 124.0, 4.0]"
24,"[8266.133604772771, 144.0, 4.0]"
25,"[6464.39465367901, 111.0, 4.0]"
26,"[445940.0623219542, 406.0, 7.0]"
27,"[2172535.492590203, 268.0, 9.0]"
28,"[2853194.542506535, 352.0, 9.0]"
29,"[2123916.989024751, 262.0, 9.0]"
30,"[1065010.001373897, 357.0, 8.0]"
31,"[59243956.076517425, 364.0, 12.0]"
32,"[710276.0009159313, 238.0, 8.0]"
33,"[18681843.215141717, 312.0, 11.0]"
34,"[259512.4253891162, 236.0, 7.0]"
35,"[26465481.638117436, 442.0, 11.0]"
36,"[5375467.65393284, 244.0, 10.0]"
37,"[52896519.211176276, 325.0, 12.0]"
38,"[23651396.977503136, 395.0, 11.0]"
39,"[280348.4553992569, 255.0, 7.0]"
40,"[25567369.512389466, 427.0, 11.0]"
41,"[21915046.8677624, 366.0, 11.0]"
42,"[62068223231351.625, 862.0, 25.0]"
43,"[3.340617711503767e+16, 1150.0, 31.0]"
44,"[9.751925582561389e+16, 1235.0, 32.0]"
45,"[1324771470893819.2, 916.0, 28.0]"
46,"[5.203656477368045e+18, 1207.0, 36.0]"
47,"[8.899125612588437e+16, 1127.0, 32.0]"
48,"[2.8891025839184634e+17, 1346.0, 33.0]"
49,"[2.2965809404360085e+22, 1787.0, 44.0]"
50,"[1.5855999630401937e+19, 1353.0, 37.0]"
51,"[30794527343.40801, 469.0, 18.0]"
52,"[2.490319828648401e+25, 1767.0, 51.0]"
53,"[3.4125499697829494e+28, 2208.0, 58.0]"
54,"[1.264209942994647e+16, 1183.0, 30.0]"
55,"[9072412010780.729, 931.0, 23.0]"
56,"[116191979846.0349, 651.0, 19.0]"
57,"[1.7250577572765448e+19, 1472.0, 37.0]"
58,"[6.104703870715121e+18, 1416.0, 36.0]"
59,"[2.732400933128707e+21, 1571.0, 42.0]"
60,"[2.1431516913173864e+26, 2058.0, 53.0]"
61,"[66676536788944.33, 926.0, 25.0]"
62,"[5.6735807160036e+18, 1316.0, 36.0]"
63,"[207864845216052.78, 1062.0, 26.0]"
64,"[4.79431772944562e+19, 1505.0, 38.0]"
65,"[1648733053295109.5, 1140.0, 28.0]"
66,"[2.790366537216942e+17, 1300.0, 33.0]"
67,"[8.781099225038231e+17, 1505.0, 34.0]"
68,"[4.664432385345452e+23, 1807.0, 47.0]"
69,"[370666211313.0798, 764.0, 20.0]"
70,"[8.232645187062423e+17, 1411.0, 34.0]"
71,"[1.0975009395228654e+16, 1027.0, 30.0]"
72,"[6.054109174262167e+22, 1733.0, 45.0]"
73,"[6.441879583000252e+22, 1844.0, 45.0]"
74,"[7.596671887707497e+17, 1302.0, 34.0]"
75,"[3.385540166178802e+24, 1775.0, 49.0]"
76,"[7.801540466049174e+16, 988.0, 32.0]"
77,"[2229815792515.85, 622.0, 22.0]"
78,"[3.519009739213449e+20, 1495.0, 40.0]"
79,"[1.9251696971310246e+22, 1498.0, 44.0]"
80,"[1.5774309793541137e+27, 2050.0, 55.0]"
81,"[7357326604240.922, 755.0, 23.0]"
82,"[7.141571728536082e+17, 1224.0, 34.0]"
83,"[4293017052484223.0, 1092.0, 29.0]"
84,"[8.797848036038256e+20, 1375.0, 41.0]"
85,"[1.4930187382950531e+19, 1274.0, 37.0]"
86,"[6.389478176414024e+22, 1829.0, 45.0]"
87,"[191619287633459.16, 979.0, 26.0]"
88,"[3.2812706197080585e+20, 1394.0, 40.0]"
89,"[6.873179326973453e+17, 1178.0, 34.0]"
90,"[1.0494177408278587e+17, 1329.0, 32.0]"
91,"[1.6779643016204525e+23, 1767.0, 46.0]"
92,"[4.4527647286778663e+23, 1725.0, 47.0]"
93,"[2.1860571794525185e+22, 1701.0, 44.0]"
94,"[2.0549708582860534e+22, 1599.0, 44.0]"
95,"[5.329497382965132e+19, 1673.0, 38.0]"
96,"[2.6019553125146695e+21, 1496.0, 42.0]"
97,"[229982291081511.56, 1175.0, 26.0]"
98,"[2.454116942485427e+21, 1411.0, 42.0]"
99,"[2.076503630946e+26, 1994.0, 53.0]"
