0,"[7599130.699208317, 345.0, 10.0]"
1,"[7422918.972849864, 337.0, 10.0]"
2,"[10704862.376276065, 486.0, 10.0]"
3,"[22153432.434623193, 370.0, 11.0]"
4,"[997024695269.3103, 756.0, 21.0]"
5,"[63796340812923.89, 886.0, 25.0]"
6,"[84821771419440.56, 1178.0, 25.0]"
7,"[301287586349.47974, 621.0, 20.0]"
8,"[1.2054343327959594e+16, 1128.0, 30.0]"
9,"[1.0028295943200448e+17, 1270.0, 32.0]"
10,"[493740767278469.1, 928.0, 27.0]"
11,"[30409512205060.305, 1148.0, 24.0]"
12,"[365814557338.9819, 754.0, 20.0]"
13,"[5909263496.137735, 665.0, 16.0]"
14,"[213243254.94829968, 482.0, 13.0]"
15,"[644595896.3123204, 536.0, 14.0]"
16,"[4186871026458404.5, 1065.0, 29.0]"
17,"[1823730158071550.0, 1261.0, 28.0]"
18,"[1111761664169.3499, 843.0, 21.0]"
19,"[2609816551983.799, 728.0, 22.0]"
20,"[75605144304255.17, 1050.0, 25.0]"
21,"[3.4916717297627404e+16, 1202.0, 31.0]"
22,"[3262270689979.7485, 910.0, 22.0]"
23,"[53709081.168271296, 330.0, 12.0]"
24,"[1.1958165056725874e+16, 1119.0, 30.0]"
25,"[7522988260504.153, 772.0, 23.0]"
26,"[5758199617.289101, 648.0, 16.0]"
27,"[2444910561061.7456, 682.0, 22.0]"
28,"[2.919152685088458e+17, 1360.0, 33.0]"
29,"[1072197192134.8535, 813.0, 21.0]"
30,"[8429254981005.302, 865.0, 23.0]"
31,"[62284237926838.79, 865.0, 25.0]"
32,"[196708257475982.97, 1005.0, 26.0]"
33,"[175373730048239.53, 896.0, 26.0]"
34,"[2.5048905761016403e+17, 1167.0, 33.0]"
35,"[74597075713531.77, 1036.0, 25.0]"
36,"[904707593855.4852, 686.0, 21.0]"
37,"[1510286026.0821152, 462.0, 15.0]"
38,"[9.128118197117888e+16, 1156.0, 32.0]"
39,"[2.8569060469505427e+17, 1331.0, 33.0]"
40,"[397350295040.6182, 819.0, 20.0]"
41,"[22330329955458.047, 843.0, 24.0]"
42,"[7.859229671844817e+17, 1347.0, 34.0]"
43,"[176156648485954.9, 900.0, 26.0]"
44,"[5962580159.260782, 671.0, 16.0]"
45,"[1616915397877869.2, 1118.0, 28.0]"
46,"[10066381959975.117, 1033.0, 23.0]"
47,"[564503183278508.4, 1061.0, 27.0]"
48,"[377458522028.81683, 778.0, 20.0]"
49,"[1450595835484349.5, 1003.0, 28.0]"
50,"[1.4953625667696132e+19, 1276.0, 37.0]"
51,"[23495851329171.16, 887.0, 24.0]"
52,"[1.1552079022627944e+16, 1081.0, 30.0]"
53,"[587381257624385.8, 1104.0, 27.0]"
54,"[3.2563760474742364e+16, 1121.0, 31.0]"
55,"[192989394896835.03, 986.0, 26.0]"
56,"[1.2616658441775889e+20, 1457.0, 39.0]"
57,"[6.001234313584351e+18, 1392.0, 36.0]"
58,"[7474264243272.909, 767.0, 23.0]"
59,"[2.155021541050597e+17, 1004.0, 33.0]"
60,"[390072817109.4714, 804.0, 20.0]"
61,"[60628125242078.914, 842.0, 25.0]"
62,"[63652331014249.12, 884.0, 25.0]"
63,"[895475883714.1028, 679.0, 21.0]"
64,"[6.896517796674516e+17, 1182.0, 34.0]"
65,"[663837564.8589568, 552.0, 14.0]"
66,"[184768751300823.8, 944.0, 26.0]"
67,"[8.654340436021803e+16, 1096.0, 32.0]"
68,"[134397172625.28, 753.0, 19.0]"
69,"[3233591387210.696, 902.0, 22.0]"
70,"[338160141200.62384, 697.0, 20.0]"
71,"[7883545988015.362, 809.0, 23.0]"
72,"[350289271085.8686, 722.0, 20.0]"
73,"[23893188161118.812, 902.0, 24.0]"
74,"[2.684113709068862e+16, 924.0, 31.0]"
75,"[2.2413190599442635e+22, 1744.0, 44.0]"
76,"[4.4247889210631004e+19, 1389.0, 38.0]"
77,"[3312459469825.591, 924.0, 22.0]"
78,"[2.3885362591840266e+18, 1506.0, 35.0]"
79,"[124223681470.37833, 696.0, 19.0]"
80,"[1313201414376659.5, 908.0, 28.0]"
81,"[3.566086792580853e+20, 1515.0, 40.0]"
82,"[1.0375732968004242e+17, 1314.0, 32.0]"
83,"[147069415993.6663, 824.0, 19.0]"
84,"[205279813.8921391, 464.0, 13.0]"
85,"[383280504373.7343, 790.0, 20.0]"
86,"[64516389806297.75, 896.0, 25.0]"
87,"[1026038641427.9409, 778.0, 21.0]"
88,"[69052698464553.055, 959.0, 25.0]"
89,"[10918038644.616035, 452.0, 17.0]"
90,"[201740506.75606775, 456.0, 13.0]"
91,"[376973356833.40704, 777.0, 20.0]"
92,"[207049467.4601748, 468.0, 13.0]"
93,"[3.349332366403028e+16, 1153.0, 31.0]"
94,"[14806986037.941658, 613.0, 17.0]"
95,"[9179604846366.467, 942.0, 23.0]"
96,"[1.973000734677908e+18, 1244.0, 35.0]"
97,"[1043183245976.2228, 791.0, 21.0]"
98,"[518747034586753.7, 975.0, 27.0]"
99,"[389587651914.0616, 803.0, 20.0]"
